# gene-model: GENCODE v36
gene_id	gene_name	gene_type	unstranded	stranded_first	stranded_second	tpm_unstranded	fpkm_unstranded	fpkm_uq_unstranded
N_unmapped			3823012	3823012	3823012			
N_multimapping			4121031	4121031	4121031			
N_noFeature			3248929	29052336	29684755			
N_ambiguous			5267927	1238300	1212134			
ENSG00000000003.15	TSPAN6	protein_coding	1695	837	859	30.9283	7.5973	7.4496
ENSG00000000005.6	TNMD	protein_coding	1	0	1	0.0561	0.0138	0.0135
ENSG00000000419.13	DPM1	protein_coding	1822	915	907	124.9397	30.6903	30.0940
ENSG00000000457.14	SCYL3	protein_coding	1990	1573	1424	23.9296	5.8781	5.7639
ENSG00000000460.17	C1orf112	protein_coding	526	780	810	7.2924	1.7913	1.7565
ENSG00000000938.13	FGR	protein_coding	287	152	135	7.0237	1.7253	1.6918
ENSG00000000971.16	CFH	protein_coding	2565	1347	1219	26.6038	6.5350	6.4080
ENSG00000001036.14	FUCA2	protein_coding	4351	3303	3188	127.6120	31.3467	30.7377
ENSG00000001084.13	GCLC	protein_coding	1867	1101	1055	17.9307	4.4045	4.3189
ENSG00000001167.14	NFYA	protein_coding	3061	1721	1664	66.4789	16.3299	16.0126
ENSG00000001460.18	STPG1	protein_coding	609	320	338	5.9224	1.4548	1.4265
ENSG00000001461.17	NIPAL3	protein_coding	2758	1416	1392	24.2946	5.9678	5.8518
ENSG00000001497.18	LAS1L	protein_coding	3027	1550	1488	19.9552	4.9018	4.8066
ENSG00000001561.7	ENPP4	protein_coding	1235	624	612	22.0107	5.4067	5.3017
ENSG00000001617.12	SEMA3F	protein_coding	8408	4244	4179	144.1998	35.4214	34.7331
ENSG00000001626.16	CFTR	protein_coding	8	7	5	0.0666	0.0164	0.0160
ENSG00000001629.10	ANKIB1	protein_coding	6513	3391	3171	72.9549	17.9207	17.5725
ENSG00000001630.17	CYP51A1	protein_coding	341	170	180	7.9976	1.9646	1.9264
ENSG00000001631.16	KRIT1	protein_coding	687	377	356	9.1652	2.2514	2.2076
ENSG00000002016.18	RAD52	protein_coding	1030	537	493	18.9319	4.6505	4.5601
