id,primary_site,dbgap_accession_number,project_id,disease_type,name,releasable,state,released
HCMI-CMDC,"['Ovary', 'Hematopoietic and reticuloendothelial systems', 'Nasal cavity and middle ear', 'Other and ill-defined sites', 'Skin', 'Other and unspecified parts of biliary tract', 'Breast', 'Small intestine', 'Liver and intrahepatic bile ducts', 'Corpus uteri', 'Gallbladder', 'Stomach', 'Brain', 'Eye and adnexa', 'Bladder', 'Thyroid gland', 'Connective, subcutaneous and other soft tissues', 'Kidney', 'Other and unspecified parts of tongue', 'Larynx', 'Bones, joints and articular cartilage of other and unspecified sites', 'Adrenal gland', 'Colon', 'Other and unspecified parts of mouth', 'Rectum', 'Unknown', 'Lymph nodes', 'Uterus, NOS', 'Rectosigmoid junction', 'Bronchus and lung', 'Pancreas', 'Esophagus']",,HCMI-CMDC,"['Transitional Cell Papillomas and Carcinomas', 'Nevi and Melanomas', 'Mature T- and NK-Cell Lymphomas', 'Squamous Cell Neoplasms', 'Osseous and Chondromatous Neoplasms', 'Neuroepitheliomatous Neoplasms', 'Myomatous Neoplasms', 'Epithelial Neoplasms, NOS', 'Malignant Lymphomas, NOS or Diffuse', 'Soft Tissue Tumors and Sarcomas, NOS', 'Complex Epithelial Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Miscellaneous Bone Tumors', 'Fibromatous Neoplasms', 'Acinar Cell Neoplasms', 'Blood Vessel Tumors', 'Ductal and Lobular Neoplasms', 'Adenomas and Adenocarcinomas', 'Gliomas', 'Synovial-like Neoplasms', 'Complex Mixed and Stromal Neoplasms', 'Lymphoid Leukemias']",NCI Cancer Model Development for the Human Cancer Model Initiative,True,open,True
CPTAC-3,"['Other and ill-defined sites', 'Other and unspecified urinary organs', 'Bronchus and lung', 'Other and unspecified parts of tongue', 'Brain', 'Other and ill-defined sites in lip, oral cavity and pharynx', 'Tonsil', 'Kidney', 'Breast', 'Gum', 'Larynx', 'Lip', 'Hematopoietic and reticuloendothelial systems', 'Pancreas', 'Stomach', 'Base of tongue', 'Other and unspecified parts of mouth', 'Uterus, NOS', 'Oropharynx', 'Colon', 'Unknown', 'Floor of mouth']",phs001287,CPTAC-3,"['Transitional Cell Papillomas and Carcinomas', 'Epithelial Neoplasms, NOS', 'Complex Mixed and Stromal Neoplasms', 'Squamous Cell Neoplasms', 'Myeloid Leukemias', 'Gliomas', 'Nevi and Melanomas', 'Adenomas and Adenocarcinomas', 'Ductal and Lobular Neoplasms', 'Lipomatous Neoplasms', 'Not Applicable', 'Complex Epithelial Neoplasms']","CPTAC-Brain, Head and Neck, Kidney, Lung, Pancreas, Uterus",True,open,True
TCGA-LGG,['Brain'],,TCGA-LGG,['Gliomas'],Brain Lower Grade Glioma,True,open,True
TCGA-BRCA,['Breast'],,TCGA-BRCA,"['Adnexal and Skin Appendage Neoplasms', 'Adenomas and Adenocarcinomas', 'Ductal and Lobular Neoplasms', 'Cystic, Mucinous and Serous Neoplasms', 'Complex Epithelial Neoplasms', 'Fibroepithelial Neoplasms', 'Squamous Cell Neoplasms', 'Epithelial Neoplasms, NOS', 'Basal Cell Neoplasms']",Breast Invasive Carcinoma,True,open,True
CTSP-DLBCL1,"['Lymph nodes', 'Unknown']",phs001184,CTSP-DLBCL1,['Mature B-Cell Lymphomas'],CTSP Diffuse Large B-Cell Lymphoma (DLBCL) CALGB 50303,True,open,True
APOLLO-LUAD,['Bronchus and lung'],phs003011,APOLLO-LUAD,['Adenomas and Adenocarcinomas'],APOLLO1: Proteogenomic characterization of lung adenocarcinoma,True,open,True
MATCH-B,"['Small intestine', 'Cervix uteri', 'Colon', 'Parotid gland', 'Ovary', 'Breast', 'Unknown', 'Skin', 'Liver and intrahepatic bile ducts', 'Renal pelvis', 'Prostate gland', 'Other and unspecified female genital organs', 'Rectosigmoid junction', 'Bladder', 'Rectum', 'Other and unspecified parts of biliary tract', 'Gallbladder']",phs002028,MATCH-B,"['Neoplasms, NOS', 'Epithelial Neoplasms, NOS', 'Ductal and Lobular Neoplasms', 'Nerve Sheath Tumors', 'Transitional Cell Papillomas and Carcinomas', 'Adenomas and Adenocarcinomas']",Genomic Characterization CS-MATCH-0007 Arm B,False,open,True
CMI-ASC,"['Heart, mediastinum, and pleura', 'Bronchus and lung', 'Breast', 'Skin', 'Lymph nodes', 'Other and ill-defined digestive organs', 'Other and ill-defined sites', 'Bladder', 'Other and ill-defined sites within respiratory system and intrathoracic organs']",phs001931,CMI-ASC,"['Soft Tissue Tumors and Sarcomas, NOS']",Count Me In (CMI): The Angiosarcoma (ASC) Project,True,open,True
MATCH-C1,"['Bronchus and lung', 'Liver and intrahepatic bile ducts', 'Stomach', 'Palate', 'Esophagus', 'Rectum']",phs002177,MATCH-C1,"['Nevi and Melanomas', 'Adenomas and Adenocarcinomas', 'Neoplasms, NOS']",Genomic Characterization CS-MATCH-0007 Arm C1,False,open,True
BEATAML1.0-CRENOLANIB,['Hematopoietic and reticuloendothelial systems'],phs001628,BEATAML1.0-CRENOLANIB,['Myeloid Leukemias'],Clinical Resistance to Crenolanib in Acute Myeloid Leukemia Due to Diverse Molecular Mechanisms,False,open,True
