id,cases,file_name,file_id,data_type,submitter_id,data_category,experimental_strategy
744a6d3d-b666-49aa-8d26-47f34e3d1eb5,"[{'case_id': '878f975b-94fd-4d69-b7e7-1ed3ac2ee438', 'submitter_id': 'TCGA-BH-A18H'}]",94027f46-390c-4dda-ab89-cb1ac0a291cd.rna_seq.augmented_star_gene_counts.tsv,744a6d3d-b666-49aa-8d26-47f34e3d1eb5,Gene Expression Quantification,41848a66-837f-4aa1-94d7-6e9de9c2bbcf,Transcriptome Profiling,RNA-Seq
4ecc1f1a-8ff4-4552-a5e8-7a9652b6d1d5,"[{'case_id': 'e4fc0909-f284-4471-866d-d8967b6adcbc', 'submitter_id': 'TCGA-E2-A14P'}]",df45fb41-4511-4dab-b865-fcdfcda0400a.rna_seq.augmented_star_gene_counts.tsv,4ecc1f1a-8ff4-4552-a5e8-7a9652b6d1d5,Gene Expression Quantification,25982983-a96d-455c-b26d-73a1c5987cb2,Transcriptome Profiling,RNA-Seq
1ace2a0c-773d-45b5-8fd6-968c88731bbb,"[{'case_id': 'e5aae05a-478e-4a55-a27c-12b2b4be302a', 'submitter_id': 'TCGA-AN-A04A'}]",c33ecc28-d5ba-4416-b93d-445b7883b6e8.rna_seq.augmented_star_gene_counts.tsv,1ace2a0c-773d-45b5-8fd6-968c88731bbb,Gene Expression Quantification,0493c6f8-6fbb-442e-9383-ab14fa92524d,Transcriptome Profiling,RNA-Seq
2d5b0962-b5c4-4482-9f28-47e4dcdb6df6,"[{'case_id': '16fc3677-0393-4ed1-ad3f-c8355f056369', 'submitter_id': 'TCGA-5L-AAT1'}]",602e3d24-a45d-4fe4-9b70-a679d93f470d.rna_seq.augmented_star_gene_counts.tsv,2d5b0962-b5c4-4482-9f28-47e4dcdb6df6,Gene Expression Quantification,40157473-bfa9-402b-944a-07d0968d3346,Transcriptome Profiling,RNA-Seq
84cff855-d17a-4c09-b432-53893ae69c1e,"[{'case_id': '33fe5833-d7a0-43d7-a03d-56985ea448a6', 'submitter_id': 'TCGA-GI-A2C8'}]",03d891b3-8faf-4384-94ce-2015f1ca5df0.rna_seq.augmented_star_gene_counts.tsv,84cff855-d17a-4c09-b432-53893ae69c1e,Gene Expression Quantification,18a83f64-97c2-4630-ac15-fc49a077f3af,Transcriptome Profiling,RNA-Seq
c2515ef2-5cfc-4cc2-9541-ae072616d361,"[{'case_id': 'd0b78f3f-a198-437a-ab8c-204345d3b75d', 'submitter_id': 'TCGA-AQ-A0Y5'}]",f8ff90c6-3554-4e19-ae56-18f30f51f9b5.rna_seq.augmented_star_gene_counts.tsv,c2515ef2-5cfc-4cc2-9541-ae072616d361,Gene Expression Quantification,43c43fde-1fe9-4907-a397-1dfc3327de4b,Transcriptome Profiling,RNA-Seq
61647238-a8c4-4156-af15-c32947983cfd,"[{'case_id': '566792ae-f853-4a47-856d-f02cdcfcb18a', 'submitter_id': 'TCGA-A8-A07I'}]",4c6cb929-293d-452e-b7f8-d535b48cf073.rna_seq.augmented_star_gene_counts.tsv,61647238-a8c4-4156-af15-c32947983cfd,Gene Expression Quantification,b9939baa-d12a-467c-a337-f29a56ede211,Transcriptome Profiling,RNA-Seq
488399aa-ef3c-42d7-817f-9db11b9902dd,"[{'case_id': 'b7a4df9a-4e25-4550-9c10-338ca1921c2f', 'submitter_id': 'TCGA-E9-A1R4'}]",a8e0466b-d106-44b7-b846-c4fb666715f5.rna_seq.augmented_star_gene_counts.tsv,488399aa-ef3c-42d7-817f-9db11b9902dd,Gene Expression Quantification,3dde8d31-7f96-44b7-ae01-a21ab439b815,Transcriptome Profiling,RNA-Seq
3d0b3b80-92ae-44dc-89fc-2ead925b81a2,"[{'case_id': 'b9c6c069-2a2b-4cc7-a398-dc45c132d979', 'submitter_id': 'TCGA-AC-A8OP'}]",eb44c266-8b8f-4012-ad67-f4ac40698391.rna_seq.augmented_star_gene_counts.tsv,3d0b3b80-92ae-44dc-89fc-2ead925b81a2,Gene Expression Quantification,214d5a88-474b-403c-9bd3-ba4cd403990b,Transcriptome Profiling,RNA-Seq
5cce30f3-99ae-4959-987a-0d280dc2ec44,"[{'case_id': '28e9048a-e540-42de-a1f4-4ef894fccc4c', 'submitter_id': 'TCGA-AR-A24Q'}]",2dd0b954-db3e-402d-9c06-6160e199dedb.rna_seq.augmented_star_gene_counts.tsv,5cce30f3-99ae-4959-987a-0d280dc2ec44,Gene Expression Quantification,95cccf8f-3006-4afe-8e88-5ca757b0f1a1,Transcriptome Profiling,RNA-Seq
