,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,Cluster
00063026-2a67-41de-b105-f80dca277978.rna_seq.augmented_star_gene_counts,-0.23937114,1.0003473,-0.2252362,-0.4400997,-0.22711284,-0.63079447,-0.70747256,-0.38918036,0.39378425,-0.38890576,-0.45772898,-0.2692,0.7168745,1.2656237,-0.5874087,0.06253444,0.935771,-1.1983159,0.24391957,-0.30423695,0.93517244,0.11758691,0.07363935,0.80780643,0.91591215,-0.07887217,0.8739802,0.13994226,-0.98732865,0.035954762,0.43778184,0.6993346,-0.46441996,-0.9061477,-0.45125967,-0.8400941,-0.2647581,-1.7127098,0.91545105,0.115673,0.37235954,-0.30467132,0.056796946,0.3212739,-0.5004564,0.40439725,-1.1169896,-0.07540196,1.3999224,1.2358422,1.4204952,0.2541181,-2.2129755,-0.11565497,1.5504848,0.11011509,0.33640447,-0.035644352,0.19814159,0.36980894,-0.30837598,1.1929829,0.21332598,0.7124639,-0.10869128,-0.4928229,0.702387,-0.7164322,-1.8103914,1.05643,0.8793396,-1.0879474,0.5816554,0.67648447,-0.13073544,0.2754192,0.52960765,-0.5431682,0.81143016,1.7507261,0.25531057,0.9751392,-1.6071622,1.1231858,1.0423981,-0.9758067,-0.57490706,0.67713,1.4708623,1.3075676,-1.3365412,0.8347087,0.98322666,-1.2569044,-0.49476206,-1.3346651,0.08441841,0.26139998,0.598674,1.0086246,-0.07330683,1.3735178,0.4906543,-0.36439154,0.59047055,-0.1364211,-0.7094235,-0.5491313,-0.019522538,-0.7176539,1.7337428,0.6916937,-0.25586012,0.56216776,-0.7148863,0.36432064,-1.265146,-0.7400669,0.2001256,0.40725037,0.8299119,-2.0268269,1.0177866,1.9648771,0.17192069,-1.3630276,-0.003996453,0.616735,0
01900aab-4c12-4198-b41f-ff638e5abe3b.rna_seq.augmented_star_gene_counts,-0.0734909,-0.36488485,-0.043595117,-0.031050174,-0.04252433,-0.118700035,-0.20201103,-0.101330966,-0.06540352,0.04502034,-0.02307671,0.16892424,0.3796807,0.20430806,-0.03558546,0.046992578,-0.08711966,-0.26557875,-0.0029574689,-0.4149109,0.08221686,0.23118225,0.1450488,-0.10317013,0.16123624,-0.32974604,-0.20993116,-0.3387399,-0.0021472217,-0.032978717,-0.020378677,-0.25890404,-0.08361195,0.013160161,0.03057217,-0.16013491,-0.011069388,-0.38094798,0.11040103,0.22552826,0.00035002484,0.12785648,0.08809488,0.11438397,-0.1495255,0.17462651,-0.085243285,0.08003702,0.6519524,0.10134528,0.1323211,-0.30225345,-0.24908043,-0.032265667,-0.10917284,0.10032222,-0.096220054,-0.14822465,0.14702196,0.103992105,-0.21436355,0.3269198,-0.009882878,0.05597433,-0.043298114,-0.09988484,0.3007052,-0.15976736,0.08864686,-0.21685852,0.26588657,-0.33927634,0.13643487,0.4571872,-0.13933717,0.02535433,0.027020363,-0.09385712,0.046437766,0.020504702,-0.26997158,0.29627147,-0.08233215,0.16612282,0.055855338,-0.14131975,0.11550161,-0.0038272452,0.4196718,0.26765734,-0.2432281,0.19192272,0.5716505,-0.01868134,-0.33855563,-0.04304237,0.07818121,-0.46307525,0.36576086,-0.16393296,0.12151659,0.27125254,0.14977911,0.23819755,0.1113835,0.0683231,-0.1877616,-0.026931925,-0.25201938,0.046904873,0.3132823,-0.06370684,0.48564413,0.40395868,0.44077983,0.060398415,0.1492586,-0.33546424,-0.42263028,-0.002002209,-0.14425206,-0.27331546,0.36343956,0.28154466,-0.15105712,-0.1457662,0.39323285,0.0697426,0
0394cdb2-85e8-4cea-b572-4cb4ed779774.rna_seq.augmented_star_gene_counts,0.23487502,-0.16131765,-0.10842194,-0.17324448,-0.31727806,-0.3645703,0.5922709,0.50295883,-0.45906916,0.38227037,-0.05007539,0.028985726,-0.24189758,-0.35151586,-0.56795776,-0.045138985,-0.003916908,-0.85118574,0.56325626,0.24440895,-0.34918958,-0.002762878,-0.14500737,-0.1868613,0.38792804,0.5719017,0.36560634,-0.23829204,-0.59382164,0.2747968,0.10586437,0.035124484,-0.70900553,-0.99742585,-0.49891213,-0.0307749,-0.65291107,-0.00058336614,0.24309939,0.4196115,0.19641614,-0.017594116,-0.5944495,0.092538446,0.8043852,0.44809902,0.5311427,-0.0671418,0.7188139,0.67680013,0.85028946,-0.024874005,0.08616702,-0.4310344,0.009620406,-0.1325793,-0.092759825,-0.13817823,-0.55745363,-0.013655538,0.04561766,0.013590588,0.4006146,0.5504163,0.15334101,-0.06575365,-0.021946084,-0.030905416,-0.30411127,-0.06605163,0.20570108,0.100680016,0.49211684,-0.45055112,-0.51689565,-0.29618877,0.15567216,-0.05737858,-0.06861603,0.26435274,-0.090184405,-0.27390876,-0.35731,-0.035312153,0.58559585,0.3710359,0.20219453,-0.3691792,0.8771407,-0.92628914,-0.44469208,-0.3663094,0.4863846,-0.05899868,-0.16259636,-0.9218346,-0.0235438,-0.49858207,0.9473108,0.047464427,0.6239902,0.21339718,-0.34562704,-0.5591151,-0.31284204,-0.27741033,0.10304487,0.1258145,0.32729542,-0.4065095,0.5639259,0.06154674,-0.51852924,0.32468686,0.5101364,0.21459436,0.5966071,-0.17359623,-0.08537815,-0.10818465,0.057098858,-1.0737605,1.1975553,0.2332404,-0.43295082,0.07459991,-0.43796864,-0.04410553,2
03d891b3-8faf-4384-94ce-2015f1ca5df0.rna_seq.augmented_star_gene_counts,-1.3474077,3.0919664,-2.4313,-2.0997536,1.4163989,-1.1158758,-2.445801,-4.0653915,1.7881094,-0.8358692,-3.9945028,-1.6231409,2.5634732,2.6344512,0.45133948,0.47868708,1.9248979,-1.6315794,-3.6294334,-1.9038596,2.3029866,-1.2934757,-0.17044039,0.79968625,1.3737346,-2.502168,0.9135885,1.5732077,0.17985897,-0.82022655,3.3203847,0.9696983,3.145123,-0.25296748,1.025293,-2.9793315,2.1974113,-5.2575765,0.7440456,-0.551446,0.42403483,-2.0022247,2.0230067,0.3720787,-3.296063,-0.81077284,-2.4538198,-0.13839932,-1.6340054,0.7961828,-0.39639086,2.2436407,-3.79936,2.321869,4.2446938,2.3464234,1.1848981,1.1163654,1.9568192,-0.37906817,-2.7288215,3.0379276,-2.0813456,-0.47918147,1.5119507,-2.4567482,3.1534371,-1.591358,1.1162136,0.5175915,5.3112245,-0.79429126,-1.4351854,1.9177659,0.28729087,0.5275701,-0.84057826,-1.0413393,0.28190225,4.2162576,0.63038814,1.6960602,-3.4642441,0.40134615,0.9503072,-3.6256588,-0.90318936,3.166632,1.6858435,2.5473416,2.0132506,1.9408549,1.1419388,-0.51553524,-2.2544115,-0.6865669,4.4066515,3.2427688,-0.6516745,1.9578817,-2.5686207,0.45013827,3.5671349,1.0461773,1.9364812,0.9558942,-3.4488537,1.1967771,-0.35765186,1.0303227,2.346457,2.004607,3.8390117,1.64161,-3.7947972,-0.84362656,-2.8715029,0.11631299,2.0514028,1.8331428,-0.023630707,-0.9890506,-2.1204233,2.3245173,1.9750935,-2.8685627,2.012293,-1.1576619,1
04026251-0cf6-4889-83b4-8a46881470b5.rna_seq.augmented_star_gene_counts,0.116943814,-0.10715425,0.27286378,0.0034097328,0.15432812,0.20548509,0.14646247,0.16821522,-0.025658509,-0.11116568,0.07479591,0.16199233,-0.024537778,-0.0017052134,-0.032826703,0.13885206,-0.07718115,0.15003395,0.083918534,-0.12293806,-0.048781984,-0.09595738,0.041636866,-0.05833615,0.10187473,-0.04089641,0.06244818,0.069309436,0.02119818,-0.056076027,-0.1386962,0.12138272,0.11858699,0.023622058,0.1572629,0.27153653,-0.12421758,0.3558707,-0.054560598,-0.010647791,-0.004673704,-0.026584262,0.10505915,-0.34631836,0.08383988,-0.37383214,0.07423294,0.09249932,0.04359969,0.12158679,-0.22871214,-0.021036403,0.34721687,-0.079184346,-0.098697275,0.010841749,-0.119748764,0.02696327,0.050175186,-0.12637825,0.072229,-0.1352117,-0.12270144,-0.16082187,0.10381462,0.17043848,0.15209109,0.07066152,0.12274912,-0.05552988,0.10354942,0.028152587,0.012197163,-0.2410791,-0.021576844,-0.0419001,0.010923522,0.047453668,0.044117708,-0.20332688,-0.047312755,-0.12534912,0.2390706,-0.14164694,-0.020972779,0.2272005,-0.016457897,-0.056236777,-0.23481923,-0.271029,0.10655573,-0.08896365,0.002640633,0.026040103,-0.002175243,0.0721894,0.22811885,-0.06541747,0.0040991553,-0.22724223,-0.036228117,-0.013898427,-0.14967209,-0.060571887,-0.15314023,0.034624062,0.01923798,0.15707268,-0.079652764,0.012929089,-0.15273342,-0.030127928,0.08817558,-0.09687906,-0.0695954,-0.022157978,0.17354554,0.01128804,-0.10055134,0.041561116,-0.31572446,0.0048957863,-0.20932041,-0.1794875,-0.04684754,0.16422884,0.10930123,0.10317674,0
0633890f-584c-43d9-aa3f-7a6555533dd8.rna_seq.augmented_star_gene_counts,0.21601498,-0.20868887,0.18084207,0.11984726,0.089421004,0.13450676,0.14654061,0.23371536,-0.03428947,0.2125196,0.00051866006,-0.043822743,-0.1532288,-0.22788088,-0.26830456,0.08051868,-0.07611476,-0.02236498,0.2986831,-0.056851745,-0.2668122,0.027395656,0.0049832966,-0.08435638,0.19414438,-0.022613093,0.055551123,-0.03293565,-0.038671494,0.076633394,-0.01716952,0.14553799,-0.032644592,-0.018430937,0.084107265,0.3896358,-0.34087703,0.38379306,-0.025732411,0.055802453,-0.047527734,0.036455706,-0.07603857,-0.17555834,0.20108463,-0.07598675,0.093693525,0.037474282,0.037224527,0.09250098,-0.114990816,-0.050869692,0.32129675,-0.014176872,-0.28677255,-0.17481215,-0.15658155,-0.02794683,-0.22478662,-0.13800168,0.075099096,-0.21705838,0.11249801,0.0030019835,0.09872063,0.27169225,-0.09565078,0.032347307,0.15020365,-0.07588489,-0.018344417,0.07213535,-0.016416634,-0.42214942,-0.03973737,-0.14362319,-0.018435111,0.10944606,-0.18166947,-0.14295822,-0.13322,-0.33786896,0.32807055,-0.2666253,-0.11501848,0.38267297,0.00097006117,-0.12337626,-0.13291162,-0.23544115,-0.02657229,-0.20852198,-0.08349011,0.17733207,0.112858064,-0.040856194,0.08969775,-0.14885584,0.073141396,-0.14745642,-0.05360396,-0.1003618,-0.14679545,-0.08283982,-0.2572033,0.09067215,0.19428867,0.0013830598,0.23355946,0.19974625,-0.15268876,-0.06532341,-0.09814797,-0.11101348,0.1303509,0.017754568,0.2725692,0.019916682,-0.05364617,0.0022602633,-0.30229285,-0.027966615,0.04213417,-0.16743347,-0.08667849,0.23692617,0.004500635,0.052509375,2
06a03e45-7315-4a8d-9fef-d841a4a8043c.rna_seq.augmented_star_gene_counts,-0.36758617,-0.2690342,-0.3850392,-0.08959014,0.18309876,-0.22928995,-0.8259936,-0.4960352,0.2778471,-0.297956,-0.20811562,0.29192933,0.3305449,0.52121484,0.24731426,-0.5279982,-0.22215332,0.15669364,-0.45157835,-0.4486197,0.2421789,0.29832098,-0.15373078,0.16702001,-0.074502185,-0.49857828,-0.74839675,-0.27277198,0.2623194,-0.361557,0.15468788,-0.050398104,0.65139365,0.5275916,-0.08095944,-0.35123864,0.38092178,-0.6043344,0.19522004,0.2042871,-0.23570068,0.020449422,0.5687898,0.43105206,-0.5213665,0.012070057,-0.41158652,0.004138158,0.4308308,-0.4553086,-0.41668275,-0.43741482,-0.7208949,0.3446691,0.14864682,0.31957236,0.16726996,0.3346837,0.18342528,0.012248295,-0.32261896,0.5253492,-0.49321032,-0.33877808,-0.18331164,-0.5301725,0.54468596,-0.24889489,0.26181677,0.11531126,0.24602777,-0.46272063,-0.57403004,0.8921875,0.28713033,0.21773684,-0.011655086,-0.31006965,0.17184962,-0.038714066,-0.31848013,0.40885216,0.031996097,0.6139187,-0.50749016,-0.34317982,0.21733762,0.49366266,0.2708752,1.0761709,0.40910193,0.5493128,0.2747055,-0.22299646,-0.31351635,0.38216054,0.12252689,-0.46704647,-0.42239144,-0.19346157,-0.09362235,-0.30967343,0.7141454,0.4911198,0.4302432,-0.18543266,-0.41335985,0.06249424,-0.3723164,0.3986029,0.23899701,0.34227592,0.97699046,0.36278304,-0.021932304,-0.08969335,-0.3748953,0.22853479,-0.5706099,-0.16969414,-0.030987542,0.006471262,-0.25763875,0.24188039,0.24096884,-0.27568278,0.74133563,-0.16164261,0
08ccd8d6-3e9d-4ece-a421-98acaf272569.rna_seq.augmented_star_gene_counts,0.010584324,-0.3383156,0.19738387,0.24675657,0.015022095,0.028886916,-0.26132634,0.17529267,-0.17174369,0.008113187,0.05598704,0.23838669,-0.02725498,-0.058242362,0.1304849,-0.083172366,-0.1680426,0.19784893,0.10988084,0.028586786,-0.12529823,0.18266203,0.065130256,-0.037542384,0.011955421,0.07094031,-0.2541936,-0.2218673,0.0772607,-0.14270298,-0.2691427,-0.10045372,0.07670125,0.33785713,-0.0050273957,0.14168599,-0.08535295,0.35847887,-0.01621826,0.054901667,-0.1419876,0.18650286,0.18560681,-0.003086568,-0.02312786,-0.15172866,-0.08695505,0.009552537,0.18050061,-0.24858609,-0.13315333,-0.20528233,0.031660154,0.055913247,-0.22535005,-0.06960553,0.021148201,-0.021474022,-0.10443872,-0.12041307,0.2680373,-0.038199674,-0.23529162,0.065830156,-0.119883254,0.20027165,-0.027398223,0.028223673,0.0055898493,-0.19169311,-0.35064,-0.20031431,0.11285671,0.0623462,0.05417011,0.22745235,-0.0010759949,0.060794167,-0.21306595,-0.50959235,-0.30569997,0.0788922,0.32762676,-0.091927975,-0.16115999,0.16079561,0.15835112,-0.059158545,0.028464487,0.35662192,0.022461418,0.13552879,0.041469563,-0.047744274,0.15608785,0.057301052,0.020622948,-0.36984128,0.007905054,-0.28763208,0.1783387,0.018157288,-0.068071134,0.08403121,-0.07016698,-0.06633049,0.2174313,-0.110349104,-0.12454966,0.0645172,-0.14538378,0.016388962,0.29366264,-0.21187252,0.3035255,0.011455301,0.19982745,-0.026322102,-0.25826496,-0.03628583,-0.2940545,0.16743818,-0.044028707,-0.20458938,0.09669666,0.21208112,0.0741376,0.17762852,0
0940092b-46da-4975-bde7-f205fe12707b.rna_seq.augmented_star_gene_counts,0.2248022,0.2547741,-0.18258817,-0.09982068,-0.4765991,0.25815853,0.76197785,0.012546374,0.1024574,0.8693101,0.17706102,-1.0740439,-0.8697988,-0.9295622,-0.12855455,-0.22477417,-0.40387908,-0.12658781,0.5316052,0.5033739,-0.914477,-0.09349047,-0.58734834,0.062415358,-0.15580375,0.3107533,-0.14864784,-0.11868319,0.5993491,0.26619703,0.13409778,-0.38648427,-0.22732721,-0.0993719,-0.5378371,0.10707821,-0.6502897,0.81779957,0.19998467,-0.1663303,0.23405439,0.35961694,0.09270841,-0.019212186,0.44989967,0.4437589,1.023104,-0.12918729,-0.48466402,-0.24816251,-0.27701387,-0.3492037,1.4575154,-0.2654317,-0.9924307,-0.22577886,0.19953705,-0.2054893,-0.6158367,-0.537639,-0.55215573,-1.0688088,0.8439243,-0.02695085,0.7191554,0.2152189,-0.884569,0.7147923,0.6221322,-0.5002224,-0.50907254,0.5480479,0.18465914,-0.67138314,-0.69250345,-0.69949746,-0.5673997,-0.06560387,0.3823595,-0.3452475,0.14528649,-0.7830484,1.2126846,-0.2677917,-0.6027301,0.20124434,-0.41534305,0.2060918,-1.2722503,-0.8990538,0.6551492,-0.61786765,-0.527961,0.21324529,0.43535107,-0.23958276,0.289813,0.62258327,0.011676678,0.03527592,-0.27820653,-0.66156167,-0.46837378,-0.17788404,-1.2748325,-0.76790833,0.64271224,-0.15890361,1.2321196,-0.13565548,-0.16026483,-0.36381394,-0.41330594,-0.09486285,0.5118744,-0.112493634,1.3797802,0.04231543,0.47765756,-0.023011183,0.007532248,0.21522978,0.24453443,-0.4349044,0.0065011214,0.81111646,-0.2744436,-0.76362634,2
0a9e33db-2527-4cc3-8669-a7c10fed7a7f.rna_seq.augmented_star_gene_counts,0.45495087,0.2716563,0.09670586,-0.08169141,-0.34274483,0.49135828,1.0684109,0.22931185,0.28012463,0.89998287,0.14708044,-0.90416783,-0.9930434,-1.043914,-0.06751172,-0.19374275,-0.3190006,-0.58455396,0.67139924,0.053344235,-0.6089345,-0.033829506,-0.31605992,-0.20336972,-0.076325126,0.31572068,-0.045957766,-0.17773849,0.44532704,0.22778423,0.5437747,-0.30094364,-0.30487862,-0.5686247,-0.6229845,0.32993212,-0.87395716,0.93962747,0.034307275,0.16806443,-0.10890128,0.48409382,-0.375788,0.0034367254,0.5624028,0.17240366,1.0562719,-0.10509299,-0.43444836,0.031537257,-0.12397214,0.003988284,1.3962296,-0.15002367,-0.79816926,-0.3193269,-0.04780531,-0.113774806,-0.54245985,-0.3284785,-0.28391895,-0.62904096,0.5754244,-0.08520379,0.65889454,0.26508066,-0.60912156,0.5546637,0.7816202,-0.5051299,-0.23342596,0.75652826,0.41516584,-0.98232675,-0.7202444,-0.58851546,-0.25407544,0.17920159,0.37157735,-0.19961613,-0.033403583,-0.73114973,0.940507,-0.47984537,-0.17088139,0.37732625,-0.4027292,-0.0796906,-0.90712434,-1.6266682,0.13820377,-1.0714477,-0.108450785,0.43111908,0.02752264,-0.46114412,0.45264024,0.31476128,0.38505527,0.1388877,0.040808666,-0.48489228,-0.14744952,-0.23875608,-1.099044,-0.542306,0.18019266,-0.15906009,1.0505437,0.17872053,-0.16965377,-0.011742275,-0.25635493,0.2511525,0.28830102,0.23569112,1.6039865,0.42693335,0.5512061,0.07529185,-0.15491402,-0.07285578,0.5791968,-0.56347513,0.029127413,0.6104713,-0.196432,-0.47570497,2
